offset,offset_hex,length,text,population_term
61,0x3D,4,h)A ,
303,0x12F,4,4`?|,
396,0x18C,13,mp_spectating,
781,0x30D,67,oBERROR: Trying to get value of NETTIMER that has not been started!,
851,0x353,85, oTWARNING: Trying to get value of NETTIMER that has not been started! Returning 0.0 ,
1011,0x3F3,13,mp_spectating,
1074,0x432,4,head,
1386,0x56A,50,Io0TRIED TO USE IS_SLOT_DATA_VALID WITH BAD INDEX ,
1783,0x6F7,17,Tried to get bit ,
1816,0x718,19, bit from bad slot ,
1855,0x73F,5,4`>|8,
2062,0x80E,4,DEAD,
2073,0x819,5,READY,
2085,0x825,12,POKER_FOLDED,
2104,0x838,13,RACE_FINISHED,
2124,0x84C,11,REGION_HOST,
2142,0x85E,12,ACTOR_HIDDEN,
2161,0x871,13,VOTE_TO_START,
2181,0x885,12,VOTE_TO_SKIP,
2200,0x898,14,VOTE_TO_REPLAY,
2221,0x8AD,11,IS_IN_LOBBY,
2239,0x8BF,15,GAME_ARBITRATOR,
2261,0x8D5,11,JOINED_GAME,
2279,0x8E7,13,SKIP_CUTSCENE,
2299,0x8FB,14,START_CUTSCENE,
2320,0x910,12,IS_SPECTATOR,
2339,0x923,13,DISTRICT_HOST,
2359,0x937,13,NEEDS_REVIVAL,
2379,0x94B,23,MP_BIT_MPLAW_MOSTWANTED,
2409,0x969,21,HAS_VIRAL_ACHIEVEMENT,
2437,0x985,17,COMBATMODE_CASUAL,
2461,0x99D,17,COMBATMODE_EXPERT,
2485,0x9B5,15,IN_ACTOR_PICKER,
2507,0x9CB,13,MELEE_BLOCKED,
2527,0x9DF,10,BLIND_FIRE,
2544,0x9F0,24,FREE_MODE_DEFENSE_ACTIVE,
2575,0xA0F,17,PLAYER_IS_GRIEFER,
2599,0xA27,22,CANNOT_AFFORD_MINIGAME,
2628,0xA44,29,FREE_MODE_DEFENSE_SPOONHOLDER,
2664,0xA68,7,UNKNOWN,
2743,0xAB7,15,mp_spectateNext,
2783,0xADF,15,mp_spectatePrev,
2988,0xBAC,21,MPPlayerNameColored_0,
3013,0xBC5,21,MPPlayerNameColored_1,
3038,0xBDE,21,MPPlayerNameColored_2,
3063,0xBF7,21,MPPlayerNameColored_3,
3088,0xC10,21,MPPlayerNameColored_4,
3113,0xC29,21,MPPlayerNameColored_5,
3138,0xC42,21,MPPlayerNameColored_6,
3163,0xC5B,21,MPPlayerNameColored_7,
3188,0xC74,21,MPPlayerNameColored_8,
3213,0xC8D,21,MPPlayerNameColored_9,
3238,0xCA6,22,MPPlayerNameColored_10,
3264,0xCC0,22,MPPlayerNameColored_11,
3290,0xCDA,22,MPPlayerNameColored_12,
3316,0xCF4,22,MPPlayerNameColored_13,
3342,0xD0E,22,MPPlayerNameColored_14,
3368,0xD28,22,MPPlayerNameColored_15,
3394,0xD42,14,UNHANDLED SLOT,
3463,0xD87,13,CamSpecLayout,
3486,0xD9E,7,SpecCam,
3509,0xDB5,6,camfoc,
3568,0xDF0,16,KillerHeadLooker,
3619,0xE23,4,head,
3698,0xE72,16,gMPScratchLayout,
3965,0xF7D,5,)H!B@,
3975,0xF87,5,>DR0P,
