offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
54,0x36,0A 00,10,0,5
61,0x3D,08 01,264,0,4
72,0x48,02 02,514,0,1
83,0x53,02 03,770,0,1
99,0x63,01 04,1025,1,0
114,0x72,02 05,1282,0,1
125,0x7D,00 06,1536,0,0
146,0x92,02 07,1794,0,1
166,0xA6,02 08,2050,0,1
184,0xB8,02 02,514,0,1
187,0xBB,00 09,2304,0,0
271,0x10F,07 0A,2567,1,3
317,0x13D,08 01,264,0,4
328,0x148,02 0B,2818,0,1
341,0x155,02 07,1794,0,1
354,0x162,02 0C,3074,0,1
376,0x178,02 02,514,0,1
379,0x17B,00 0D,3328,0,0
382,0x17E,00 06,1536,0,0
389,0x185,02 0E,3586,0,1
400,0x190,03 0F,3843,1,1
409,0x199,05 10,4101,1,2
418,0x1A2,04 11,4356,0,2
423,0x1A7,02 12,4610,0,1
434,0x1B2,02 13,4866,0,1
485,0x1E5,01 14,5121,1,0
497,0x1F1,01 15,5377,1,0
533,0x215,01 16,5633,1,0
674,0x2A2,03 17,5891,1,1
730,0x2DA,02 18,6146,0,1
733,0x2DD,01 19,6401,1,0
790,0x316,02 18,6146,0,1
793,0x319,01 19,6401,1,0
798,0x31E,01 19,6401,1,0
861,0x35D,02 18,6146,0,1
903,0x387,02 18,6146,0,1
934,0x3A6,00 0D,3328,0,0
937,0x3A9,00 06,1536,0,0
946,0x3B2,01 1A,6657,1,0
953,0x3B9,00 1B,6912,0,0
956,0x3BC,01 19,6401,1,0
967,0x3C7,01 1A,6657,1,0
1010,0x3F2,01 1A,6657,1,0
1016,0x3F8,01 19,6401,1,0
1034,0x40A,04 1C,7172,0,2
1121,0x461,01 1D,7425,1,0
1178,0x49A,01 14,5121,1,0
1295,0x50F,01 1D,7425,1,0
1375,0x55F,02 1E,7682,0,1
1464,0x5B8,02 1F,7938,0,1
1544,0x608,05 20,8197,1,2
1552,0x610,05 21,8453,1,2
1565,0x61D,03 0F,3843,1,1
1572,0x624,00 0D,3328,0,0
1575,0x627,00 06,1536,0,0
1597,0x63D,07 22,8711,1,3
1604,0x644,02 23,8962,0,1
1618,0x652,14 24,9236,0,10
1627,0x65B,08 25,9480,0,4
1637,0x665,0A 26,9738,0,5
1650,0x672,03 27,9987,1,1
1676,0x68C,03 28,10243,1,1
1695,0x69F,03 29,10499,1,1
1704,0x6A8,08 01,264,0,4
1710,0x6AE,05 2A,10757,1,2
1780,0x6F4,03 2B,11011,1,1
1825,0x721,04 2C,11268,0,2
1882,0x75A,13 2D,11539,1,9
1897,0x769,04 2E,11780,0,2
1909,0x775,03 29,10499,1,1
1916,0x77C,03 2F,12035,1,1
1950,0x79E,05 30,12293,1,2
1973,0x7B5,01 31,12545,1,0
1991,0x7C7,03 2F,12035,1,1
2014,0x7DE,0D 32,12813,1,6
2099,0x833,02 1E,7682,0,1
2113,0x841,03 2F,12035,1,1
2123,0x84B,04 33,13060,0,2
2204,0x89C,02 1E,7682,0,1
2231,0x8B7,05 34,13317,1,2
2254,0x8CE,07 35,13575,1,3
2263,0x8D7,05 34,13317,1,2
2290,0x8F2,01 19,6401,1,0
2293,0x8F5,07 36,13831,1,3
2302,0x8FE,01 19,6401,1,0
2328,0x918,05 37,14085,1,2
2361,0x939,05 37,14085,1,2
2374,0x946,01 38,14337,1,0
2385,0x951,03 29,10499,1,1
2392,0x958,03 2F,12035,1,1
2423,0x977,05 20,8197,1,2
2431,0x97F,05 21,8453,1,2
2435,0x983,00 0D,3328,0,0
2438,0x986,00 06,1536,0,0
2450,0x992,0E 39,14606,0,7
2461,0x99D,03 3A,14851,1,1
2474,0x9AA,04 33,13060,0,2
2577,0xA11,03 3B,15107,1,1
2640,0xA50,01 15,5377,1,0
2724,0xAA4,03 3C,15363,1,1
3661,0xE4D,03 3C,15363,1,1
3720,0xE88,05 3D,15621,1,2
3753,0xEA9,01 15,5377,1,0
3762,0xEB2,01 14,5121,1,0
3771,0xEBB,01 15,5377,1,0
3911,0xF47,03 3E,15875,1,1
3924,0xF54,09 3F,16137,1,4
3973,0xF85,09 3F,16137,1,4
3984,0xF90,09 3F,16137,1,4
4004,0xFA4,09 3F,16137,1,4
4015,0xFAF,09 3F,16137,1,4
4064,0xFE0,03 3B,15107,1,1
4202,0x106A,03 40,16387,1,1
4210,0x1072,0A 41,16650,0,5
4254,0x109E,04 42,16900,0,2
4280,0x10B8,04 42,16900,0,2
4299,0x10CB,02 43,17154,0,1
4922,0x133A,04 44,17412,0,2
4929,0x1341,08 01,264,0,4
4933,0x1345,02 45,17666,0,1
4946,0x1352,02 46,17922,0,1
4959,0x135F,02 03,770,0,1
4980,0x1374,02 07,1794,0,1
5001,0x1389,02 07,1794,0,1
5036,0x13AC,04 42,16900,0,2
5071,0x13CF,04 42,16900,0,2
5085,0x13DD,02 0C,3074,0,1
5106,0x13F2,04 47,18180,0,2
5110,0x13F6,02 0B,2818,0,1
5114,0x13FA,02 0E,3586,0,1
5197,0x144D,05 48,18437,1,2
5230,0x146E,05 37,14085,1,2
5257,0x1489,04 33,13060,0,2
5272,0x1498,03 2F,12035,1,1
5280,0x14A0,03 49,18691,1,1
5298,0x14B2,05 4A,18949,1,2
5304,0x14B8,05 4A,18949,1,2
5324,0x14CC,03 4B,19203,1,1
5344,0x14E0,05 4C,19461,1,2
5364,0x14F4,03 4D,19715,1,1
5385,0x1509,03 4E,19971,1,1
5391,0x150F,03 4F,20227,1,1
5413,0x1525,03 50,20483,1,1
5433,0x1539,03 51,20739,1,1
5453,0x154D,03 52,20995,1,1
5463,0x1557,03 53,21251,1,1
5501,0x157D,03 54,21507,1,1
5512,0x1588,03 55,21763,1,1
