offset,offset_hex,length,text,population_term
66,0x42,5,XpHud,
77,0x4D,5,XpHud,
140,0x8C,5,XpHud,
160,0xA0,5,XpHud,
171,0xAB,12,XpMultiplier,
248,0xF8,21,DISABLE_HORSE_WHISTLE,
333,0x14D,7,Reticle,
346,0x15A,7,Reticle,
367,0x16F,8,MPSplash,
504,0x1F8,4,4`?|,
659,0x293,14,HudSceneOnline,
704,0x2C0,25,HUD_MENU_NAV_RIGHT_MASTER,
765,0x2FD,24,HUD_MENU_NAV_LEFT_MASTER,
840,0x348,20,HUD_MENU_BACK_MASTER,
880,0x370,22,HUD_MENU_SELECT_MASTER,
1307,0x51B,67,oBERROR: Trying to get value of NETTIMER that has not been started!,
1378,0x562,84,oTWARNING: Trying to get value of NETTIMER that has not been started! Returning 0.0 ,
1583,0x62F,12,SpectatorCam,
1659,0x67B,16,gMPScratchLayout,
1732,0x6C4,15,mp_spectateLook,
1837,0x72D,13,testInventory,
1853,0x73D,14,btn_PromptText,
2022,0x7E6,76,SoJAttempting to get distance from INVALID actor to location. Returning 0.0!,
2133,0x855,70,"NoDAttempting to get location of INVALID actor. Returning << 0,0,0 >>.",
2242,0x8C2,9,IsFadedIn,
2280,0x8E8,9,IsFadedIn,
2318,0x90E,9,IsFadedIn,
2351,0x92F,9,IsFadedIn,
2665,0xA69,17,Tried to get bit ,
2698,0xA8A,19, bit from bad slot ,
2737,0xAB1,5,4`>|8,
2944,0xB80,4,DEAD,
2955,0xB8B,5,READY,
2967,0xB97,12,POKER_FOLDED,
2986,0xBAA,13,RACE_FINISHED,
3006,0xBBE,11,REGION_HOST,
3024,0xBD0,12,ACTOR_HIDDEN,
3043,0xBE3,13,VOTE_TO_START,
3063,0xBF7,12,VOTE_TO_SKIP,
3082,0xC0A,14,VOTE_TO_REPLAY,
3103,0xC1F,11,IS_IN_LOBBY,
3121,0xC31,15,GAME_ARBITRATOR,
3143,0xC47,11,JOINED_GAME,
3161,0xC59,13,SKIP_CUTSCENE,
3181,0xC6D,14,START_CUTSCENE,
3202,0xC82,12,IS_SPECTATOR,
3221,0xC95,13,DISTRICT_HOST,
3241,0xCA9,13,NEEDS_REVIVAL,
3261,0xCBD,23,MP_BIT_MPLAW_MOSTWANTED,
3291,0xCDB,21,HAS_VIRAL_ACHIEVEMENT,
3319,0xCF7,17,COMBATMODE_CASUAL,
3343,0xD0F,17,COMBATMODE_EXPERT,
3367,0xD27,15,IN_ACTOR_PICKER,
3389,0xD3D,13,MELEE_BLOCKED,
3409,0xD51,10,BLIND_FIRE,
3426,0xD62,24,FREE_MODE_DEFENSE_ACTIVE,
3457,0xD81,17,PLAYER_IS_GRIEFER,
3481,0xD99,22,CANNOT_AFFORD_MINIGAME,
3510,0xDB6,29,FREE_MODE_DEFENSE_SPOONHOLDER,
3546,0xDDA,7,UNKNOWN,
3604,0xE14,50,Io0TRIED TO USE IS_SLOT_DATA_VALID WITH BAD INDEX ,
4091,0xFFB,20,mp_spectating_locked,
4119,0x1017,13,mp_spectating,
4146,0x1032,13,Common_Change,
4179,0x1053,20,Generic_Dbuffer128_2,
4215,0x1077,15,MPSplashItem.s0,
4233,0x1089,20,Generic_Dbuffer128_2,
4259,0x10A3,15,MPSplashItem.s1,
4285,0x10BD,13,MPSplashTitle,
4413,0x113D,21,MPPlayerNameColored_0,
4438,0x1156,21,MPPlayerNameColored_1,
4463,0x116F,21,MPPlayerNameColored_2,
4488,0x1188,21,MPPlayerNameColored_3,
4513,0x11A1,21,MPPlayerNameColored_4,
4538,0x11BA,21,MPPlayerNameColored_5,
4563,0x11D3,21,MPPlayerNameColored_6,
4588,0x11EC,21,MPPlayerNameColored_7,
4613,0x1205,21,MPPlayerNameColored_8,
4638,0x121E,21,MPPlayerNameColored_9,
4663,0x1237,22,MPPlayerNameColored_10,
4689,0x1251,22,MPPlayerNameColored_11,
4715,0x126B,22,MPPlayerNameColored_12,
4741,0x1285,22,MPPlayerNameColored_13,
4767,0x129F,22,MPPlayerNameColored_14,
4793,0x12B9,22,MPPlayerNameColored_15,
4819,0x12D3,14,UNHANDLED SLOT,
4938,0x134A,7,Reticle,
4951,0x1357,7,Reticle,
4964,0x1364,15,MPSplashItem.s0,
4985,0x1379,15,MPSplashItem.s1,
5006,0x138E,15,MPSplashItem.s0,
5024,0x13A0,11,Common_Null,
5041,0x13B1,15,MPSplashItem.s1,
5059,0x13C3,11,Common_Null,
5076,0x13D4,8,MPSplash,
5090,0x13E2,13,MPSplashTitle,
5175,0x1437,21,DISABLE_HORSE_WHISTLE,
5208,0x1458,21,DISABLE_HORSE_WHISTLE,
5232,0x1470,4,7+~-,
5557,0x15B5,4,j[$\,
5568,0x15C0,4,W&OY,
5812,0x16B4,5,9&#/?,
5824,0x16C0,4,1#y[,
5847,0x16D7,4,0a$N,
