offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
408,0x198,02 00,2,0,1
418,0x1A2,08 01,264,0,4
421,0x1A5,00 02,512,0,0
425,0x1A9,02 03,770,0,1
470,0x1D6,00 04,1024,0,0
527,0x20F,05 05,1285,1,2
534,0x216,03 06,1539,1,1
546,0x222,05 07,1797,1,2
554,0x22A,03 08,2051,1,1
557,0x22D,03 09,2307,1,1
564,0x234,03 08,2051,1,1
567,0x237,03 09,2307,1,1
576,0x240,03 08,2051,1,1
579,0x243,03 09,2307,1,1
590,0x24E,00 0A,2560,0,0
610,0x262,03 0B,2819,1,1
621,0x26D,01 0C,3073,1,0
776,0x308,01 0D,3329,1,0
965,0x3C5,01 0E,3585,1,0
972,0x3CC,00 0F,3840,0,0
982,0x3D6,03 10,4099,1,1
1047,0x417,04 11,4356,0,2
1056,0x420,01 0D,3329,1,0
1092,0x444,0A 12,4618,0,5
1126,0x466,0E 13,4878,0,7
1159,0x487,0C 14,5132,0,6
1200,0x4B0,02 00,2,0,1
1218,0x4C2,01 0E,3585,1,0
1231,0x4CF,00 0F,3840,0,0
1245,0x4DD,01 15,5377,1,0
1250,0x4E2,03 16,5635,1,1
1306,0x51A,07 17,5895,1,3
1353,0x549,07 17,5895,1,3
1371,0x55B,02 18,6146,0,1
1402,0x57A,07 19,6407,1,3
1412,0x584,04 1A,6660,0,2
1437,0x59D,01 0D,3329,1,0
1463,0x5B7,07 1B,6919,1,3
1472,0x5C0,02 1C,7170,0,1
1480,0x5C8,06 1D,7430,0,3
1516,0x5EC,01 1E,7681,1,0
1524,0x5F4,01 1F,7937,1,0
1527,0x5F7,01 1E,7681,1,0
1578,0x62A,01 1E,7681,1,0
1589,0x635,01 1F,7937,1,0
1592,0x638,01 1E,7681,1,0
1647,0x66F,14 20,8212,0,10
1747,0x6D3,04 21,8452,0,2
1777,0x6F1,02 22,8706,0,1
1847,0x737,07 17,5895,1,3
1865,0x749,02 18,6146,0,1
1917,0x77D,05 23,8965,1,2
1977,0x7B9,07 17,5895,1,3
1995,0x7CB,02 18,6146,0,1
2015,0x7DF,03 24,9219,1,1
2095,0x82F,02 18,6146,0,1
2123,0x84B,02 18,6146,0,1
2143,0x85F,02 00,2,0,1
2178,0x882,03 25,9475,1,1
2181,0x885,04 11,4356,0,2
2255,0x8CF,02 18,6146,0,1
2275,0x8E3,02 00,2,0,1
2356,0x934,03 26,9731,1,1
2380,0x94C,02 18,6146,0,1
2409,0x969,03 26,9731,1,1
2438,0x986,02 18,6146,0,1
