parent,name,kind,state,source
blackwater,blackwater,world,unknown,redemption part1.zip:rpf_parent
dlc01x,dlc01x,world,unknown,territory_swall dlc.zip:rpf_parent;territory_swall dlc.zip:path_token
dlc02x,dlc02x,world,unknown,territory_swall dlc.zip:rpf_parent;territory_swall dlc.zip:path_token
dlc03x,dlc03x,world,unknown,territory_swall dlc.zip:rpf_parent;territory_swall dlc.zip:path_token
dlc04x,dlc04x,world,unknown,territory_swall dlc.zip:rpf_parent;territory_swall dlc.zip:path_token
dlc05x,dlc05x,world,unknown,territory_swall dlc.zip:rpf_parent;territory_swall dlc.zip:path_token
dlc06x,dlc06x,world,unknown,territory_swall dlc.zip:rpf_parent;territory_swall dlc.zip:path_token
dlc07x,dlc07x,world,unknown,territory_swall dlc.zip:rpf_parent;territory_swall dlc.zip:path_token
dlc08x,dlc08x,world,unknown,territory_swall dlc.zip:rpf_parent;territory_swall dlc.zip:path_token
dlc09x,dlc09x,world,unknown,territory_swall dlc.zip:rpf_parent;territory_swall dlc.zip:path_token
dlc10x,dlc10x,world,unknown,territory_swall dlc.zip:rpf_parent;territory_swall dlc.zip:path_token
territory_swall,tory_swall,child,unknown,redemption part1.zip:path_token
wsc,arm_flags01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,beh_grave01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,beh_grave02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,beh_grave03x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,beh_house01props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,beh_house01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,beh_house02props01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,beh_house02x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,beh_silo01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,beh_silo02x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,blk_archeologist01Props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_bank_int_02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_bank_int_shade_01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,blk_bank_int_shade_02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_barge01Props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_barge01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,blk_blacksmith_int_01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_blacksmith_int_Props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_blacksmith_int_shade_01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,blk_church_int_01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_doctorsOffice_int_01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_doctorsOffice_int_Props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_doctorsOffice_int_shade_01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,blk_freightstation01_int_Props01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,blk_freightstation_int_01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_freightstation_int_shade_01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,blk_generalStore_int_01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_generalStore_int_Props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_generalStore_int_Props02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_generalStore_int_shade_01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,blk_gunshop_int_01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_gunshop_int_Props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_gunshop_int_shade_01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,blk_hotel01_int_Props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_hotel_int_01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_policeStation01_int_props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_policeStation01_int_props02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_policeStation_int_01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_policeStation_int_02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_policeStation_int_shades01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_saloon_int_01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_sawMill_int_shade_01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,blk_tailor01_int_Props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_tailor_int_01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_tailor_int_shade_01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,blk_theatre_int_01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_theatre_int_Props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_trainstation_int_01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,blk_trainstation_int_Props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,chu_flags01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,chu_gatlingBreakables01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,coc_fence01bx,child,enabled,sector_inventory.csv:workbench_inventory
wsc,coc_fence01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,coc_fence03bx,child,enabled,sector_inventory.csv:workbench_inventory
wsc,coc_fence03x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,coc_gates01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,coc_gates02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,dlc_agv_zombieDebris01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,dlc_arm_zombieDebris01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,dlc_beh_catacombs01props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,dlc_beh_catacombs01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,dlc_blk_zombieDebris01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,dlc_blk_zombieFire01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,dlc_blk_zombieGraffiti01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,dlc_but_zombieDebris01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,dlc_cas_zombieDebris01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,dlc_esc_bullRing02Props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,dlc_esc_bullRing02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,emt_caveDoor01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,emt_caveDoor02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,esc_flags01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,esc_villaWall04x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,esc_villaWall05x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,fod_gates01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,fod_gates02Doors01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,fod_gates02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,fom_corralBreakProps01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,gap_caveBlockades01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,han_flags01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,hen_barn01props01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,hen_barn01props02x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,hen_barn01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,hen_barn02props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,hen_barn02x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,hen_barn03props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,hen_beamsEntity01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,hen_flags01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,lmf_troughAfter01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,lmf_troughBefore01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,lsh_gatlingBreakables01x,child,disabled,sector_inventory.csv:workbench_inventory
wsc,mor_morningStar01_int_Props01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mor_morningStar_int_01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mor_morningStar_int_shade_01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_arm_base01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_arm_ffa01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_cas_base01x,child,enabled,sector_inventory.csv:workbench_inventory
wsc,mp_chu_base01x,child,enabled,sector_inventory.csv:workbench_inventory
