package,logical_key,donor_path,staged_path,staged_content_path,donor_size,staged_size,donor_sha1,staged_sha1,donor_crc32,staged_crc32,sha1_match,crc32_match,raw_copy_bytes_match
import_test_release_csc,action_areas/fort_mercer/fortmercermp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\fort_mercer\fortmercermp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release_csc\content\release\multiplayer\action_areas\fort_mercer\fortmercermp.csc,import_test_release_csc/content/release/multiplayer/action_areas/fort_mercer/fortmercermp.csc,30899,30899,70A1AC8DBB413598DD83D38BAEAFAE853B67A7B9,70A1AC8DBB413598DD83D38BAEAFAE853B67A7B9,655537AD,655537AD,True,True,True
import_test_release64_csc,action_areas/fort_mercer/fortmercermp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\fort_mercer\fortmercermp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release64_csc\content\release64\multiplayer\action_areas\fort_mercer\fortmercermp.csc,import_test_release64_csc/content/release64/multiplayer/action_areas/fort_mercer/fortmercermp.csc,30899,30899,70A1AC8DBB413598DD83D38BAEAFAE853B67A7B9,70A1AC8DBB413598DD83D38BAEAFAE853B67A7B9,655537AD,655537AD,True,True,True
import_test_both_csc,action_areas/fort_mercer/fortmercermp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\fort_mercer\fortmercermp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\action_areas\fort_mercer\fortmercermp.csc,import_test_both_csc/content/release/multiplayer/action_areas/fort_mercer/fortmercermp.csc,30899,30899,70A1AC8DBB413598DD83D38BAEAFAE853B67A7B9,70A1AC8DBB413598DD83D38BAEAFAE853B67A7B9,655537AD,655537AD,True,True,True
import_test_both_csc,action_areas/fort_mercer/fortmercermp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\fort_mercer\fortmercermp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\fort_mercer\fortmercermp.csc,import_test_both_csc/content/release64/multiplayer/action_areas/fort_mercer/fortmercermp.csc,30899,30899,70A1AC8DBB413598DD83D38BAEAFAE853B67A7B9,70A1AC8DBB413598DD83D38BAEAFAE853B67A7B9,655537AD,655537AD,True,True,True
import_test_release_csc,action_areas/gaptooth_breach/gaptoothbreachmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\gaptooth_breach\gaptoothbreachmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release_csc\content\release\multiplayer\action_areas\gaptooth_breach\gaptoothbreachmp.csc,import_test_release_csc/content/release/multiplayer/action_areas/gaptooth_breach/gaptoothbreachmp.csc,33109,33109,2B948987AD4F6608861762D90E4806B96966D406,2B948987AD4F6608861762D90E4806B96966D406,B1516F4C,B1516F4C,True,True,True
import_test_release64_csc,action_areas/gaptooth_breach/gaptoothbreachmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\gaptooth_breach\gaptoothbreachmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release64_csc\content\release64\multiplayer\action_areas\gaptooth_breach\gaptoothbreachmp.csc,import_test_release64_csc/content/release64/multiplayer/action_areas/gaptooth_breach/gaptoothbreachmp.csc,33109,33109,2B948987AD4F6608861762D90E4806B96966D406,2B948987AD4F6608861762D90E4806B96966D406,B1516F4C,B1516F4C,True,True,True
import_test_both_csc,action_areas/gaptooth_breach/gaptoothbreachmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\gaptooth_breach\gaptoothbreachmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\action_areas\gaptooth_breach\gaptoothbreachmp.csc,import_test_both_csc/content/release/multiplayer/action_areas/gaptooth_breach/gaptoothbreachmp.csc,33109,33109,2B948987AD4F6608861762D90E4806B96966D406,2B948987AD4F6608861762D90E4806B96966D406,B1516F4C,B1516F4C,True,True,True
import_test_both_csc,action_areas/gaptooth_breach/gaptoothbreachmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\gaptooth_breach\gaptoothbreachmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\gaptooth_breach\gaptoothbreachmp.csc,import_test_both_csc/content/release64/multiplayer/action_areas/gaptooth_breach/gaptoothbreachmp.csc,33109,33109,2B948987AD4F6608861762D90E4806B96966D406,2B948987AD4F6608861762D90E4806B96966D406,B1516F4C,B1516F4C,True,True,True
import_test_release_csc,action_areas/nosalida/nosalidamp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\nosalida\nosalidamp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release_csc\content\release\multiplayer\action_areas\nosalida\nosalidamp.csc,import_test_release_csc/content/release/multiplayer/action_areas/nosalida/nosalidamp.csc,29619,29619,4FE9D4D1F095091F594BE426A710CEEF73175695,4FE9D4D1F095091F594BE426A710CEEF73175695,ADC32BF9,ADC32BF9,True,True,True
import_test_release64_csc,action_areas/nosalida/nosalidamp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\nosalida\nosalidamp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release64_csc\content\release64\multiplayer\action_areas\nosalida\nosalidamp.csc,import_test_release64_csc/content/release64/multiplayer/action_areas/nosalida/nosalidamp.csc,29619,29619,4FE9D4D1F095091F594BE426A710CEEF73175695,4FE9D4D1F095091F594BE426A710CEEF73175695,ADC32BF9,ADC32BF9,True,True,True
import_test_both_csc,action_areas/nosalida/nosalidamp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\nosalida\nosalidamp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\action_areas\nosalida\nosalidamp.csc,import_test_both_csc/content/release/multiplayer/action_areas/nosalida/nosalidamp.csc,29619,29619,4FE9D4D1F095091F594BE426A710CEEF73175695,4FE9D4D1F095091F594BE426A710CEEF73175695,ADC32BF9,ADC32BF9,True,True,True
import_test_both_csc,action_areas/nosalida/nosalidamp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\nosalida\nosalidamp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\nosalida\nosalidamp.csc,import_test_both_csc/content/release64/multiplayer/action_areas/nosalida/nosalidamp.csc,29619,29619,4FE9D4D1F095091F594BE426A710CEEF73175695,4FE9D4D1F095091F594BE426A710CEEF73175695,ADC32BF9,ADC32BF9,True,True,True
import_test_release_csc,action_areas/pikes_basin/pikesbasinmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\pikes_basin\pikesbasinmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release_csc\content\release\multiplayer\action_areas\pikes_basin\pikesbasinmp.csc,import_test_release_csc/content/release/multiplayer/action_areas/pikes_basin/pikesbasinmp.csc,30632,30632,03F6BC1B24DCA47996071AFB204F11BBF68261E5,03F6BC1B24DCA47996071AFB204F11BBF68261E5,AB06F484,AB06F484,True,True,True
import_test_release64_csc,action_areas/pikes_basin/pikesbasinmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\pikes_basin\pikesbasinmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release64_csc\content\release64\multiplayer\action_areas\pikes_basin\pikesbasinmp.csc,import_test_release64_csc/content/release64/multiplayer/action_areas/pikes_basin/pikesbasinmp.csc,30632,30632,03F6BC1B24DCA47996071AFB204F11BBF68261E5,03F6BC1B24DCA47996071AFB204F11BBF68261E5,AB06F484,AB06F484,True,True,True
import_test_both_csc,action_areas/pikes_basin/pikesbasinmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\pikes_basin\pikesbasinmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\action_areas\pikes_basin\pikesbasinmp.csc,import_test_both_csc/content/release/multiplayer/action_areas/pikes_basin/pikesbasinmp.csc,30632,30632,03F6BC1B24DCA47996071AFB204F11BBF68261E5,03F6BC1B24DCA47996071AFB204F11BBF68261E5,AB06F484,AB06F484,True,True,True
import_test_both_csc,action_areas/pikes_basin/pikesbasinmp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\pikes_basin\pikesbasinmp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release64\multiplayer\action_areas\pikes_basin\pikesbasinmp.csc,import_test_both_csc/content/release64/multiplayer/action_areas/pikes_basin/pikesbasinmp.csc,30632,30632,03F6BC1B24DCA47996071AFB204F11BBF68261E5,03F6BC1B24DCA47996071AFB204F11BBF68261E5,AB06F484,AB06F484,True,True,True
import_test_release_csc,action_areas/solomons_folly/solomonsfollymp,D:\Games\Red Dead Redemption\Code_RED\imports\PSN MULTIPLAYER\content\release64\multiplayer\action_areas\solomons_folly\solomonsfollymp.csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_release_csc\content\release\multiplayer\action_areas\solomons_folly\solomonsfollymp.csc,import_test_release_csc/content/release/multiplayer/action_areas/solomons_folly/solomonsfollymp.csc,28195,28195,86145814BA49418D96D0311E339E3F24D5871933,86145814BA49418D96D0311E339E3F24D5871933,7197F7CF,7197F7CF,True,True,True
