"RelativePath","Action","Source","Destination","Length","LastWriteTime","Error"
"!CarAudio.asi","moved","D:\Games\Red Dead Redemption\!CarAudio.asi","D:\Games\Red Dead Redemption\Code_RED\quarantine\runtime_restore_20260523_224926\!CarAudio.asi",,"12/31/1600 4:00:00 PM",""
"SilentVirtues.asi","moved","D:\Games\Red Dead Redemption\SilentVirtues.asi","D:\Games\Red Dead Redemption\Code_RED\quarantine\runtime_restore_20260523_224926\SilentVirtues.asi",,"12/31/1600 4:00:00 PM",""
"silent_virtues.ini","moved","D:\Games\Red Dead Redemption\silent_virtues.ini","D:\Games\Red Dead Redemption\Code_RED\quarantine\runtime_restore_20260523_224926\silent_virtues.ini",,"12/31/1600 4:00:00 PM",""
"SilentVirtues.ini","moved","D:\Games\Red Dead Redemption\SilentVirtues.ini","D:\Games\Red Dead Redemption\Code_RED\quarantine\runtime_restore_20260523_224926\SilentVirtues.ini",,"12/31/1600 4:00:00 PM",""
"FrontierX.ini","moved","D:\Games\Red Dead Redemption\FrontierX.ini","D:\Games\Red Dead Redemption\Code_RED\quarantine\runtime_restore_20260523_224926\FrontierX.ini",,"12/31/1600 4:00:00 PM",""
"ReShade.ini","moved","D:\Games\Red Dead Redemption\ReShade.ini","D:\Games\Red Dead Redemption\Code_RED\quarantine\runtime_restore_20260523_224926\ReShade.ini",,"12/31/1600 4:00:00 PM",""
"RDRMessage.exe","moved","D:\Games\Red Dead Redemption\RDRMessage.exe","D:\Games\Red Dead Redemption\Code_RED\quarantine\runtime_restore_20260523_224926\RDRMessage.exe",,"12/31/1600 4:00:00 PM",""
"RDRMessage_stub.log","moved","D:\Games\Red Dead Redemption\RDRMessage_stub.log","D:\Games\Red Dead Redemption\Code_RED\quarantine\runtime_restore_20260523_224926\RDRMessage_stub.log",,"12/31/1600 4:00:00 PM",""
"active_session.json","moved","D:\Games\Red Dead Redemption\active_session.json","D:\Games\Red Dead Redemption\Code_RED\quarantine\runtime_restore_20260523_224926\active_session.json",,"12/31/1600 4:00:00 PM",""
"game_process.json","moved","D:\Games\Red Dead Redemption\game_process.json","D:\Games\Red Dead Redemption\Code_RED\quarantine\runtime_restore_20260523_224926\game_process.json",,"12/31/1600 4:00:00 PM",""
"data\codered\mp_dev_trainer.ini","moved","D:\Games\Red Dead Redemption\data\codered\mp_dev_trainer.ini","D:\Games\Red Dead Redemption\Code_RED\quarantine\runtime_restore_20260523_224926\data\codered\mp_dev_trainer.ini",,"12/31/1600 4:00:00 PM",""
"logs\codered_mp_dev_trainer.log","moved","D:\Games\Red Dead Redemption\logs\codered_mp_dev_trainer.log","D:\Games\Red Dead Redemption\Code_RED\quarantine\runtime_restore_20260523_224926\logs\codered_mp_dev_trainer.log",,"12/31/1600 4:00:00 PM",""
