"Target","LiveLooseFileFound","Action","Note"
"root/content/ui/pausemenu/networking.sc.xml","no","none","No loose live replacement found in executable root or game root during restore pass"
"root/content/ui/net/profileeditor/main.sc.xml","no","none","No loose live replacement found in executable root or game root during restore pass"
"root/content/ui/savegame.sc.xml","no","none","No loose live replacement found in executable root or game root during restore pass"
"root/content/ui/savegame2.sc.xml","no","none","No loose live replacement found in executable root or game root during restore pass"
"netstats/*.sc.xml","no","none","No loose live replacement found in executable root or game root during restore pass"
"fuieventmonitor.wsc","no","none","No loose live replacement found in executable root or game root during restore pass"
"fuieventmonitor_z.wsc","no","none","No loose live replacement found in executable root or game root during restore pass"
"rdr2init.wsc","no","none","No loose live replacement found in executable root or game root during restore pass"
"medium_update_thread.wsc","no","none","No loose live replacement found in executable root or game root during restore pass"
"long_update_thread.wsc","no","none","No loose live replacement found in executable root or game root during restore pass"
