source_file,source_path,source_kind,function_callsite,native_call_kind,sector_name,token_class,enabled_or_disabled,likely_region,mp_or_sp,risk_level,notes
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x8B,decoded_string,mp_tes_coop01ax,sector,reference,tes,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0xA0,decoded_string,mp_tes_coop01bx,sector,reference,tes,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0xB5,decoded_string,mp_tes_coop01cx,sector,reference,tes,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0xCA,decoded_string,mp_tes_coop02x,sector,reference,tes,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0xDE,decoded_string,mp_tes_base01x,sector,reference,tes,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0xF2,decoded_string,mp_gap_mineLid01x,sector,reference,gap,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x109,decoded_string,mp_fom_coop01x,sector,reference,fom,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x11D,decoded_string,mp_fom_burntDebris01x,sector,reference,fom,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x138,decoded_string,mp_wld_base03x,sector,reference,wld,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x14C,decoded_string,mp_nos_coop01ax,sector,reference,nos,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x161,decoded_string,mp_nos_coop01bx,sector,reference,nos,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x176,decoded_string,mp_nos_coop01cx,sector,reference,nos,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x18B,decoded_string,mp_nos_coop01dx,sector,reference,nos,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x1A0,decoded_string,mp_nos_coop01ex,sector,reference,nos,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x1B5,decoded_string,mp_scr_coop01x,sector,reference,scr,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x1C9,decoded_string,arm_flags01x,sector,reference,arm,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x1DB,decoded_string,chu_flags01x,sector,reference,chu,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x1ED,decoded_string,esc_flags01x,sector,reference,esc,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x1FF,decoded_string,han_flags01x,sector,reference,han,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x211,decoded_string,hen_flags01x,sector,reference,hen,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x223,decoded_string,mtp_flags01x,sector,reference,mtp,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x235,decoded_string,mp_arm_base01x,sector,reference,arm,sp,low,decoded WSC payload
release64/pressstart.wsc,D:\Games\Red Dead Redemption\Code_RED\build\sp_freemode_sector_graft_pass1\source_wsc_extract\content\release64\pressstart.wsc,sp,decoded_offset:0x249,decoded_string,mp_cas_base01x,sector,reference,cas,sp,low,decoded WSC payload
