offset,offset_hex,opcode,width,value,actor_kind,operand_hex
1258,0x4EA,37,1,19,eActorEnum_candidate,13
1771,0x6EB,65,2,1000,eActorEnum_candidate,03 E8
2676,0xA74,38,2,4406,,11 36
2927,0xB6F,38,2,4406,,11 36
3355,0xD1B,37,1,40,eActorEnum_candidate,28
3639,0xE37,38,2,4382,,11 1E
3783,0xEC7,37,1,51,eActorEnum_candidate,33
3925,0xF55,37,1,13,eActorEnum_candidate,0D
4068,0xFE4,37,1,13,eActorEnum_candidate,0D
4211,0x1073,37,1,19,eActorEnum_candidate,13
4639,0x121F,37,1,30,eActorEnum_candidate,1E
4781,0x12AD,37,1,17,eActorEnum_candidate,11
5066,0x13CA,37,1,12,eActorEnum_candidate,0C
5351,0x14E7,37,1,10,eActorEnum_candidate,0A
5636,0x1604,38,2,3614,,0E 1E
7585,0x1DA1,37,1,136,eActorEnum_candidate,88
