offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
8,0x8,03 00,3,1,1
21,0x15,07 01,263,1,3
30,0x1E,01 02,513,1,0
62,0x3E,05 03,773,1,2
93,0x5D,02 04,1026,0,1
117,0x75,02 04,1026,0,1
134,0x86,02 05,1282,0,1
155,0x9B,02 05,1282,0,1
176,0xB0,02 05,1282,0,1
197,0xC5,02 05,1282,0,1
217,0xD9,02 05,1282,0,1
237,0xED,02 05,1282,0,1
260,0x104,02 05,1282,0,1
280,0x118,02 05,1282,0,1
307,0x133,02 05,1282,0,1
327,0x147,02 05,1282,0,1
348,0x15C,02 05,1282,0,1
369,0x171,02 05,1282,0,1
390,0x186,02 05,1282,0,1
411,0x19B,02 05,1282,0,1
432,0x1B0,02 05,1282,0,1
452,0x1C4,02 05,1282,0,1
470,0x1D6,02 05,1282,0,1
488,0x1E8,02 05,1282,0,1
506,0x1FA,02 05,1282,0,1
524,0x20C,02 05,1282,0,1
542,0x21E,02 05,1282,0,1
560,0x230,02 05,1282,0,1
580,0x244,02 05,1282,0,1
600,0x258,02 05,1282,0,1
620,0x26C,02 05,1282,0,1
640,0x280,02 05,1282,0,1
660,0x294,02 05,1282,0,1
679,0x2A7,02 05,1282,0,1
698,0x2BA,02 05,1282,0,1
717,0x2CD,02 05,1282,0,1
736,0x2E0,02 05,1282,0,1
755,0x2F3,02 05,1282,0,1
774,0x306,02 05,1282,0,1
793,0x319,02 05,1282,0,1
818,0x332,02 05,1282,0,1
838,0x346,02 05,1282,0,1
858,0x35A,02 05,1282,0,1
877,0x36D,02 05,1282,0,1
897,0x381,02 05,1282,0,1
917,0x395,02 05,1282,0,1
950,0x3B6,02 06,1538,0,1
966,0x3C6,02 07,1794,0,1
982,0x3D6,02 07,1794,0,1
998,0x3E6,02 07,1794,0,1
1014,0x3F6,02 07,1794,0,1
1030,0x406,02 07,1794,0,1
1046,0x416,02 07,1794,0,1
1062,0x426,02 07,1794,0,1
1078,0x436,02 07,1794,0,1
1102,0x44E,02 08,2050,0,1
1106,0x452,02 09,2306,0,1
1127,0x467,02 08,2050,0,1
1139,0x473,02 08,2050,0,1
1160,0x488,02 08,2050,0,1
1169,0x491,01 0A,2561,1,0
1172,0x494,01 02,513,1,0
1196,0x4AC,02 08,2050,0,1
1200,0x4B0,02 09,2306,0,1
1221,0x4C5,02 08,2050,0,1
1245,0x4DD,02 08,2050,0,1
1260,0x4EC,05 0B,2821,1,2
1267,0x4F3,05 0B,2821,1,2
1272,0x4F8,01 0C,3073,1,0
1281,0x501,05 0B,2821,1,2
1344,0x540,02 06,1538,0,1
1406,0x57E,02 06,1538,0,1
1409,0x581,00 0D,3328,0,0
1413,0x585,02 0E,3586,0,1
1416,0x588,01 0F,3841,1,0
1430,0x596,06 10,4102,0,3
1444,0x5A4,08 11,4360,0,4
1458,0x5B2,08 12,4616,0,4
1473,0x5C1,14 13,4884,0,10
1488,0x5D0,04 14,5124,0,2
1497,0x5D9,02 15,5378,0,1
1505,0x5E1,02 16,5634,0,1
1508,0x5E4,01 17,5889,1,0
1516,0x5EC,02 18,6146,0,1
1522,0x5F2,01 19,6401,1,0
1530,0x5FA,02 18,6146,0,1
1551,0x60F,02 08,2050,0,1
1570,0x622,02 08,2050,0,1
1573,0x625,01 0F,3841,1,0
1580,0x62C,02 18,6146,0,1
1597,0x63D,06 10,4102,0,3
1614,0x64E,08 11,4360,0,4
1631,0x65F,08 12,4616,0,4
1646,0x66E,14 13,4884,0,10
1664,0x680,04 14,5124,0,2
