offset,offset_hex,opcode,kind,semantics,instruction_size,instruction_hex,delta,target_candidate
16380,0x3FFC,98,branch_candidate,unconditional_jump,3,62 00 01,1,16384
17720,0x4538,95,call_candidate,call2,3,5F 9C 4F,-25521,-7798
17723,0x453B,95,call_candidate,call2,3,5F 8D E1,-29215,-11489
17726,0x453E,95,call_candidate,call2,3,5F 7F DD,32733,50462
17729,0x4541,95,call_candidate,call2,3,5F 71 91,29073,46805
17732,0x4544,95,call_candidate,call2,3,5F 6A 91,27281,45016
17735,0x4547,95,call_candidate,call2,3,5F 69 D6,27094,44832
17738,0x454A,95,call_candidate,call2,3,5F 67 DF,26591,44332
17741,0x454D,95,call_candidate,call2,3,5F 60 BF,24767,42511
17744,0x4550,95,call_candidate,call2,3,5F 5D 49,23881,41628
17747,0x4553,95,call_candidate,call2,3,5F 56 D4,22228,39978
17750,0x4556,95,call_candidate,call2,3,5F 53 A3,21411,39164
17753,0x4559,95,call_candidate,call2,3,5F 50 72,20594,38350
17756,0x455C,95,call_candidate,call2,3,5F 4D 3E,19774,37533
17759,0x455F,95,call_candidate,call2,3,5F 46 A9,18089,35851
17762,0x4562,95,call_candidate,call2,3,5F 45 69,17769,35534
17792,0x4580,95,call_candidate,call2,3,5F 46 9B,18075,35870
17815,0x4597,95,call_candidate,call2,3,5F 46 9B,18075,35893
17838,0x45AE,95,call_candidate,call2,3,5F 46 9B,18075,35916
17858,0x45C2,95,call_candidate,call2,3,5F 46 9B,18075,35936
17880,0x45D8,95,call_candidate,call2,3,5F 46 9B,18075,35958
17906,0x45F2,95,call_candidate,call2,3,5F 46 9B,18075,35984
17926,0x4606,95,call_candidate,call2,3,5F 46 9B,18075,36004
17946,0x461A,95,call_candidate,call2,3,5F 46 9B,18075,36024
17970,0x4632,95,call_candidate,call2,3,5F 46 9B,18075,36048
17988,0x4644,95,call_candidate,call2,3,5F 46 9B,18075,36066
18009,0x4659,95,call_candidate,call2,3,5F 46 9B,18075,36087
18030,0x466E,95,call_candidate,call2,3,5F 46 9B,18075,36108
18050,0x4682,95,call_candidate,call2,3,5F 46 9B,18075,36128
18071,0x4697,95,call_candidate,call2,3,5F 46 9B,18075,36149
18175,0x46FF,95,call_candidate,call2,3,5F 4D 30,19760,37938
18287,0x476F,95,call_candidate,call2,3,5F 4D 30,19760,38050
18393,0x47D9,95,call_candidate,call2,3,5F 4D 30,19760,38156
18484,0x4834,95,call_candidate,call2,3,5F 4D 30,19760,38247
18590,0x489E,95,call_candidate,call2,3,5F 4D 30,19760,38353
18690,0x4902,95,call_candidate,call2,3,5F 4D 30,19760,38453
18785,0x4961,95,call_candidate,call2,3,5F 4D 30,19760,38548
18885,0x49C5,95,call_candidate,call2,3,5F 4D 30,19760,38648
18987,0x4A2B,95,call_candidate,call2,3,5F 4D 30,19760,38750
19079,0x4A87,95,call_candidate,call2,3,5F 4D 30,19760,38842
19177,0x4AE9,95,call_candidate,call2,3,5F 4D 30,19760,38940
19287,0x4B57,95,call_candidate,call2,3,5F 4D 30,19760,39050
19388,0x4BBC,95,call_candidate,call2,3,5F 4D 30,19760,39151
19473,0x4C11,95,call_candidate,call2,3,5F 4D 30,19760,39236
19568,0x4C70,95,call_candidate,call2,3,5F 4D 30,19760,39331
19674,0x4CDA,95,call_candidate,call2,3,5F 4D 30,19760,39437
19756,0x4D2C,95,call_candidate,call2,3,5F 4D 30,19760,39519
20573,0x505D,95,call_candidate,call2,3,5F 50 61,20577,41153
21390,0x538E,95,call_candidate,call2,3,5F 53 92,21394,42787
22207,0x56BF,95,call_candidate,call2,3,5F 56 C3,22211,44421
23046,0x5A06,95,call_candidate,call2,3,5F 5D 38,23864,46913
23860,0x5D34,95,call_candidate,call2,3,5F 5D 38,23864,47727
24746,0x60AA,95,call_candidate,call2,3,5F 60 AE,24750,49499
25678,0x644E,95,call_candidate,call2,3,5F 67 CE,26574,52255
26570,0x67CA,95,call_candidate,call2,3,5F 67 CE,26574,53147
27073,0x69C1,95,call_candidate,call2,3,5F 69 C5,27077,54153
27260,0x6A7C,95,call_candidate,call2,3,5F 6A 80,27264,54527
28180,0x6E14,95,call_candidate,call2,3,5F 71 80,29056,57239
29052,0x717C,95,call_candidate,call2,3,5F 71 80,29056,58111
29978,0x751A,95,call_candidate,call2,3,5F 7F CC,32716,62697
30895,0x78AF,95,call_candidate,call2,3,5F 7F CC,32716,63614
31808,0x7C40,95,call_candidate,call2,3,5F 7F CC,32716,64527
32712,0x7FC8,95,call_candidate,call2,3,5F 7F CC,32716,65431
32986,0x80DA,95,call_candidate,call2,3,5F D3 FF,-11265,21724
32989,0x80DD,95,call_candidate,call2,3,5F D3 F4,-11276,21716
32992,0x80E0,95,call_candidate,call2,3,5F C0 D0,-16176,16819
32995,0x80E3,95,call_candidate,call2,3,5F C0 CA,-16182,16816
32998,0x80E6,95,call_candidate,call2,3,5F BF F1,-16399,16602
33001,0x80E9,95,call_candidate,call2,3,5F B9 55,-18091,14913
33004,0x80EC,95,call_candidate,call2,3,5F 45 33,17715,50722
33007,0x80EF,95,call_candidate,call2,3,5F 42 94,17044,50054
33033,0x8109,94,call_candidate,call2,3,5E DD 9F,-8801,24235
33036,0x810C,93,call_candidate,call2,3,5D 85 63,-31389,1650
33039,0x810F,93,call_candidate,call2,3,5D 3E 0B,15883,48925
