offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
6,0x6,0E 50,20494,0,7
36,0x24,0E 50,20494,0,7
69,0x45,0E 50,20494,0,7
100,0x64,0E 50,20494,0,7
135,0x87,0E 50,20494,0,7
169,0xA9,0E 50,20494,0,7
203,0xCB,0E 50,20494,0,7
241,0xF1,0E 50,20494,0,7
271,0x10F,0E 50,20494,0,7
299,0x12B,0E 50,20494,0,7
332,0x14C,0E 50,20494,0,7
365,0x16D,0E 50,20494,0,7
390,0x186,0E 50,20494,0,7
416,0x1A0,0E 50,20494,0,7
450,0x1C2,0E 50,20494,0,7
485,0x1E5,0E 50,20494,0,7
520,0x208,0E 50,20494,0,7
556,0x22C,0E 50,20494,0,7
585,0x249,0E 50,20494,0,7
616,0x268,0E 50,20494,0,7
655,0x28F,0E 50,20494,0,7
688,0x2B0,0E 50,20494,0,7
722,0x2D2,0E 50,20494,0,7
750,0x2EE,0E 50,20494,0,7
781,0x30D,0E 50,20494,0,7
813,0x32D,0E 50,20494,0,7
844,0x34C,0E 50,20494,0,7
873,0x369,0E 50,20494,0,7
904,0x388,0E 50,20494,0,7
934,0x3A6,0E 50,20494,0,7
971,0x3CB,0E 50,20494,0,7
1000,0x3E8,0E 50,20494,0,7
1027,0x403,0E 50,20494,0,7
1061,0x425,0E 50,20494,0,7
1100,0x44C,0E 50,20494,0,7
1125,0x465,0E 50,20494,0,7
1156,0x484,0E 50,20494,0,7
1192,0x4A8,0E 50,20494,0,7
1226,0x4CA,0E 50,20494,0,7
1268,0x4F4,0E 50,20494,0,7
1307,0x51B,0E 50,20494,0,7
1345,0x541,0E 50,20494,0,7
1393,0x571,0E 50,20494,0,7
1442,0x5A2,0E 50,20494,0,7
1487,0x5CF,0E 50,20494,0,7
1519,0x5EF,0E 50,20494,0,7
1552,0x610,0E 50,20494,0,7
1586,0x632,0E 50,20494,0,7
1623,0x657,0E 50,20494,0,7
1659,0x67B,0E 50,20494,0,7
1692,0x69C,0E 50,20494,0,7
1719,0x6B7,0E 50,20494,0,7
1743,0x6CF,0E 50,20494,0,7
1769,0x6E9,0E 50,20494,0,7
1800,0x708,0E 50,20494,0,7
1828,0x724,0E 50,20494,0,7
1856,0x740,0E 50,20494,0,7
1884,0x75C,0E 50,20494,0,7
1915,0x77B,0E 50,20494,0,7
1949,0x79D,0E 50,20494,0,7
1977,0x7B9,0E 50,20494,0,7
2002,0x7D2,0E 50,20494,0,7
2029,0x7ED,0E 50,20494,0,7
2055,0x807,0E 50,20494,0,7
2083,0x823,0E 50,20494,0,7
2109,0x83D,0E 50,20494,0,7
2136,0x858,0E 50,20494,0,7
2166,0x876,0E 50,20494,0,7
2196,0x894,0E 50,20494,0,7
2228,0x8B4,0E 50,20494,0,7
2266,0x8DA,0E 50,20494,0,7
2304,0x900,0E 50,20494,0,7
2341,0x925,0E 50,20494,0,7
