root_id,relative_path,absolute_path,category,term,line,score,snippet
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,32,3,"10c5dcb5,""tail_one_shot"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,42,3,"10f47c6d,""rifleshootshotgun_fast"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,129,3,"12d02d4f,""shot"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,138,3,"132d87c3,""backshot_l1"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,cutscene,155,8,"139c56a7,""cutscene_marshal03"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,173,3,"14045108,""shotnear_07"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,256,3,"15e5ac62,""shotheardb_mid"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,275,3,"166e834d,""bellyshot_ght180_sfv2"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,340,3,"1858abb3,""kirk_headshot_nm_flinch"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,499,3,"1c452a8e,""shothrd_processing"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,512,3,"1c95c487,""holstershotgunseat"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,532,3,"1d19ad3c,""shotgunprocessing"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,672,3,"20521533,""l1_run_tuningtest_v2+shottuning"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,cutscene,682,8,"2080be78,""gunsmith_cutscene"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,1271,3,"2f997895,""reloadshotgunseat"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,1309,3,"30910a21,""shotnear_05"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,1321,3,"30d92701,""drinking_oneshot"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,1531,3,"36684e38,""backshot_l3"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,1565,3,"371da921,""shothearda"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,cutscene,1622,8,"38981e6f,""cutscene_intro01"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,1680,3,"3a2fb9af,""backshot"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,1698,3,"3a8b4c40,""l3_run_tuningtest_v2alt+shot"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,1744,3,"3b83990a,""shotgunshot"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,1775,3,"3c4c4b23,""mountshotgun"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,1881,3,"3f252749,""shotnear_02"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,1924,3,"40182a20,""rifleshootshotgun_slow"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,1955,3,"40c5fca1,""pistolshootshotgunfast"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,2030,3,"42e8f17,""mountshotgunrun"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,2156,3,"460fed87,""backshot_l2"""
root_04,act\0x9A8D126E,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\0x9A8D126E,cutscenes_cameras,shot,2180,3,"46ac7165,""shotnear_d"""
root_04,act\actres\act\custom\bankrobbery_cower.cat,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\actres\act\custom\bankrobbery_cower.cat,cutscenes_cameras,CaM,51,3,GCaMmÔöhD­Sµ=êFÜR¯·TY´ÀTJ©´J©´RLTOÑÇàú¦®\åÆEÇuÞ·Ü©=8yåÊ<~xuÔª±¸5]
root_04,animationres\ast\clipres\0x7F98F0A8,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\animationres\ast\clipres\0x7F98F0A8,cutscenes_cameras,cam,83,3,cam_std
root_04,animationres\ast\clipres\0x7F98F0A8,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\animationres\ast\clipres\0x7F98F0A8,cutscenes_cameras,cam,84,3,campfire
root_04,animationres\ast\clipres\0x7F98F0A8,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\animationres\ast\clipres\0x7F98F0A8,cutscenes_cameras,cutscene,175,8,cutscene_marshal03
root_04,animationres\ast\clipres\0x7F98F0A8,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\animationres\ast\clipres\0x7F98F0A8,cutscenes_cameras,cutscene,176,8,cutscene_outlaw03
root_04,animationres\ast\clipres\0x7F98F0A8,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\animationres\ast\clipres\0x7F98F0A8,cutscenes_cameras,shot,556,3,merchant02_shothand
root_04,animationres\ast\clipres\0x7F98F0A8,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\animationres\ast\clipres\0x7F98F0A8,cutscenes_cameras,camera,629,4,multistage_camera
root_04,animationres\ast\clipres\0x7F98F0A8,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\animationres\ast\clipres\0x7F98F0A8,cutscenes_cameras,shot,992,3,shotgun_boss
root_04,animationres\ast\clipres\fema_idl1.cas,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\animationres\ast\clipres\fema_idl1.cas,cutscenes_cameras,Cam,1519,3,Cama
root_04,animationres\ast\clipres\horse_idl1.cas,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\animationres\ast\clipres\horse_idl1.cas,cutscenes_cameras,CAM,189,3,CAM;
root_04,animationres\ast\clipres\stool_sit_attach.cas,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\animationres\ast\clipres\stool_sit_attach.cas,cutscenes_cameras,caM,1996,3,:caM
root_04,animationres\ast\clipres\use_shelf.cas,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\animationres\ast\clipres\use_shelf.cas,cutscenes_cameras,cAM,2294,3,Q#cAMm=
root_04,animationres\ast\clipres\vulture.cas,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\animationres\ast\clipres\vulture.cas,cutscenes_cameras,cam,2493,3,xcamk
root_04,audio\0x0173B0CF\config\0x87295F2D,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\audio\0x0173B0CF\config\0x87295F2D,cutscenes_cameras,CAM,152,3,MCAM
root_04,audio\0x0173B0CF\config\0x87295F2D,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\audio\0x0173B0CF\config\0x87295F2D,cutscenes_cameras,SHOT,797,3,AMBIENCE_ONESHOTS\COWS_TEMP
root_04,audio\0x0173B0CF\config\0x87295F2D,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\audio\0x0173B0CF\config\0x87295F2D,cutscenes_cameras,CUTSCENE,819,8,CUTSCENE\ANTHRO_01
