score,relative_path,suffix,size,sha1_head,tags,name_hits,content_hits,reference_hits,mp_QueryName,mp_ScriptName,ActivationRadius
99,content/dlc/zombiepack/gringos/dlc_rand_idle_sit_ground_player.xml,.xml,5359,F03B312AE56969B87D984A4E91ACD64FA22D6BD0,descriptor;dlc_or_zombie,content;gringo,camp;gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,AttachProp,content\scripting\gringo\CommonScripts\Rand_Idle_Sit_Ground_Player,10.0
89,content/dlc/zombiepack/gringos/dlc_bonnie_sit_rifle.xml,.xml,5946,D4DE58323CD74D8F2A0A1E5A21941EC24B8FC4FF,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,AttachProp,content\scripting\gringo\CommonScripts\GenericGringo,75.0
89,content/dlc/zombiepack/gringos/dlc_cannibal_man.xml,.xml,6890,80F450C183E14B0B75041B31CB7EA090C0807FD9,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,AttachProp,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_dead_rise_again1.xml,.xml,5799,02DD71B1109FFCE589914DB53805A37E0066CF75,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,AttachProp,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_dead_rise_again1b.xml,.xml,6433,3DD1027AC21842CCCDEAD2D8FAAE0C14E829D57C,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,AttachProp,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_dead_rise_again2a.xml,.xml,9053,67C2E782F52495CBF455A15D5FE00ADE370968E1,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,UseAnim,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_dead_rise_again2b.xml,.xml,4785,9A83023990986B8E70DCF8DE1F0729F55CCD31CD,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SpawnPoint,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_dead_rise_again2c.xml,.xml,6744,705398203219EC11461FB8C62847AA0F22DCA50C,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,AttachProp,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_eating_dynamic.xml,.xml,5054,F7DBF96485C7FF37E40616374E576926E8A17834,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_escalera_fema_sit_crying.xml,.xml,5092,7D7FACB982CF6BF3D6CA6F9F9BCB847307B004DE,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SingleHotspot,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_female_cower.xml,.xml,4763,4E00D3207E19B143F91B3FC1959B54C5FA415B32,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,SpawnPoint,content\scripting\gringo\CommonScripts\GenericGringo,0.0
89,content/dlc/zombiepack/gringos/dlc_fenway2a.xml,.xml,8994,932E6FFC7219F24DF595487509EB6B6F83B8A824,descriptor;dlc_or_zombie,content;gringo,gringo;gringo_descriptor_fields;scripting,content\scripting\gringo\CommonScripts,UseAnim,content\scripting\gringo\CommonScripts\GenericGringo,0.0
