score,path,suffix,size,terms,excerpt
260,research/pass12_vs_pass14_strings_findings.md,.md,5282,bandit|bandito|criminal|faction relation|factionrelation|factionrelations|gang|lawman|lawmen|marshal|relation|relationship|sheriff,L20: 2. `root/content/ambient/factionrelations.xml`
250,research/Tune - Mirage Spawner/Prop List.xml,.xml,108541,bandit|bandito|gang|marshal|sheriff,L836: anc_billsgang_01
220,research/IMPORTANT_readable_root_index_2026-05-02/important_files.csv,.csv,1627275,bandit|bandito|criminal|enemy|factionrelation|factionrelations|hostile|lawman|marshal|relation|sheriff,"L2: root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,game directory.txt,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\game directory.txt,.txt,418820,d09f1283a6206fdf98d8771b0c59a01a49696b3f"
220,research/IMPORTANT_readable_root_index_2026-05-02/file_index.csv,.csv,1917242,bandit|bandito|criminal|enemy|factionrelation|factionrelations|hostile|lawman|marshal|relation|sheriff,"L2: root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,game directory.txt,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\game directory.txt,.txt,418820,d09f1283a6206fdf98d8771b0c59a01a49696b3f"
220,research/IMPORTANT_readable_root_index_2026-05-02/categories/world_nav_placement.csv,.csv,449315,bandit|bandito|criminal|enemy|factionrelation|factionrelations|hostile|lawman|marshal|relation|sheriff,"L2: root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,game directory.txt,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\game directory.txt,.txt,418820,d09f1283a6206fdf98d8771b0c59a01a49696b3f"
220,research/IMPORTANT_readable_root_index_2026-05-02/categories/vehicle_spawning.csv,.csv,213965,bandit|bandito|criminal|enemy|factionrelation|factionrelations|hostile|lawman|marshal|relation|sheriff,"L2: root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,game directory.txt,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\game directory.txt,.txt,418820,d09f1283a6206fdf98d8771b0c59a01a49696b3f"
220,research/IMPORTANT_readable_root_index_2026-05-02/categories/npc_ai_factions.csv,.csv,114159,bandit|bandito|criminal|enemy|factionrelation|factionrelations|hostile|lawman|marshal|relation|sheriff,"L2: root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,game directory.txt,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\game directory.txt,.txt,418820,d09f1283a6206fdf98d8771b0c59a01a49696b3f"
220,research/IMPORTANT_readable_root_index_2026-05-02/categories/multiplayer_scripts.csv,.csv,176010,bandit|bandito|criminal|enemy|factionrelation|factionrelations|hostile|lawman|marshal|relation|sheriff,"L2: root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,game directory.txt,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\game directory.txt,.txt,418820,d09f1283a6206fdf98d8771b0c59a01a49696b3f"
220,research/IMPORTANT_readable_root_index_2026-05-02/categories/cutscenes_cameras.csv,.csv,270005,bandit|bandito|criminal|enemy|factionrelation|factionrelations|hostile|lawman|marshal|relation|sheriff,"L2: root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,game directory.txt,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\game directory.txt,.txt,418820,d09f1283a6206fdf98d8771b0c59a01a49696b3f"
200,research/IMPORTANT_readable_root_index_2026-05-02/categories/strings_ui_text.csv,.csv,279230,bandit|bandito|criminal|enemy|factionrelation|factionrelations|hostile|lawman|marshal|relation,"L2: root_04,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root,game directory.txt,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\game directory.txt,.txt,418820,d09f1283a6206fdf98d8771b0c59a01a49696b3f"
