priority,phase,category,source_path,staged_path,actionable_score,raw_score,sha1,size,reason,regions,high_value_terms
9270,FW-1 tune/content pressure,world host / gringo,research/blackwater_wsi_gringo_correlation_outputs/wgd_keyword_components.csv,scratch/faction_wars/fw1/staged_resources/research/blackwater_wsi_gringo_correlation_outputs/wgd_keyword_components.csv,8850,8725,7b9b0b7b4c80f10e7162df4123106934c24bb199,173869,FW-1 phase,,gringobrain|vehicle_generator
3704,FW-1 tune/content pressure,tune/template pressure,research/CodeRED_Cutscene_Placement_Pass15_Build/reports/tune_refgroup_vehicle_cutscene_candidates.csv,scratch/faction_wars/fw1/staged_resources/research/CodeRED_Cutscene_Placement_Pass15_Build/reports/tune_refgroup_vehicle_cutscene_candidates.csv,2914,2739,563eeeb1171339432b9628f21f8d40f44c809eb0,299046,FW-1 phase; tune/template pressure,armadillo|blackwater|landing|tumbleweed,population|refgroup
3484,FW-1 tune/content pressure,tune/template pressure,research/modified_xml/placementglobals_15_50_rival_gang_towns.xml,scratch/faction_wars/fw1/staged_resources/research/modified_xml/placementglobals_15_50_rival_gang_towns.xml,1134,984,aa6ef1bae0104fa769600b478f424e0a34662c01,31145,preferred patchable suffix; FW-1 phase; tune/template pressure; rival gang placement candidate,blackwater|landing|thieves,
2470,FW-1 tune/content pressure,tune/template pressure,research/15_50_rival_gang_towns_report.json,scratch/faction_wars/fw1/staged_resources/research/15_50_rival_gang_towns_report.json,240,140,fb7e416f4fea85d1a5645f623137ba1ba9addd36,4593,preferred patchable suffix; FW-1 phase; tune/template pressure; rival gang placement candidate,,
2355,FW-1 tune/content pressure,tune/template pressure,research/Tune - Mirage Spawner/Prop List.xml,scratch/faction_wars/fw1/staged_resources/research/Tune - Mirage Spawner/Prop List.xml,1185,1060,0600927cf38dde4206223e4982831d4c19033ca0,108541,preferred patchable suffix; FW-1 phase; tune/template pressure,armadillo|blackwater|gaptooth|manzanita|mexico|tumbleweed,
2098,FW-1 tune/content pressure,tune/template pressure,research/Tune - Stronger NPC/Template/components.xml,scratch/faction_wars/fw1/staged_resources/research/Tune - Stronger NPC/Template/components.xml,168,68,02eddbbe1ae3dbacbe4b8d1c2322e267b0074c7d,31112,preferred patchable suffix; FW-1 phase; tune/template pressure; NPC template pressure candidate,,
2039,FW-1 tune/content pressure,tune/template pressure,research/Tune - Stronger NPC/Template/template_base_human.xml,scratch/faction_wars/fw1/staged_resources/research/Tune - Stronger NPC/Template/template_base_human.xml,109,9,7ade8863b58ecdada4b9cf0585750fca3d66af35,3299,preferred patchable suffix; FW-1 phase; tune/template pressure; NPC template pressure candidate,,
2017,FW-1 tune/content pressure,tune/template pressure,research/CodeRED_Cutscene_Placement_Pass15_Build/reports/content_cutscene_vehicle_entries.csv,scratch/faction_wars/fw1/staged_resources/research/CodeRED_Cutscene_Placement_Pass15_Build/reports/content_cutscene_vehicle_entries.csv,1407,1307,9778dbf685f84ad7ac30df163f50fdaa87c45400,57527,FW-1 phase; tune/template pressure,,gringobrain|vehicle_generator
1981,FW-1 tune/content pressure,tune/template pressure,research/Tune - Stronger NPC/Template/template_player.xml,scratch/faction_wars/fw1/staged_resources/research/Tune - Stronger NPC/Template/template_player.xml,111,11,e037b54d90cfbf93152afd6c3ff699695874cde0,3922,preferred patchable suffix; FW-1 phase; tune/template pressure; NPC template pressure candidate,,
1505,FW-1 tune/content pressure,tune/template pressure,research/car_truck_inventory/car_truck_inventory.json,scratch/faction_wars/fw1/staged_resources/research/car_truck_inventory/car_truck_inventory.json,395,295,5bf3996e943f0bf562570f358fdcfe0763b93340,159932,preferred patchable suffix; FW-1 phase; tune/template pressure,,gringobrain|vehicle_generator
1505,FW-1 tune/content pressure,tune/template pressure,research/Tune - Max Render and Spawns/Tune/trees/treetypesettings.xml,scratch/faction_wars/fw1/staged_resources/research/Tune - Max Render and Spawns/Tune/trees/treetypesettings.xml,275,200,f703b276be20db7f35e4842732e0da67b4d7c31c,161261,preferred patchable suffix; FW-1 phase; tune/template pressure,blackwater|manzanita|tumbleweed,
1487,FW-1 tune/content pressure,tune/template pressure,research/Tune - Max Render and Spawns/Tune/template/actions_templates.xml,scratch/faction_wars/fw1/staged_resources/research/Tune - Max Render and Spawns/Tune/template/actions_templates.xml,257,182,fbb6e24fea7fd2fb7e8c0ac073d1a56d39689be4,64795,preferred patchable suffix; FW-1 phase; tune/template pressure,,
