"BasePath","HasWSC","HasSCO","WSCBytes","SCOBytes","WSCHead","SCOHead"
"game\content_extracted\release64\ambient\beacons\beacon_escort_criminals","True","False","31112",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\beacons\beacon_escort_wavedown","True","False","29403",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\beacons\beacon_transport_dynomite","True","False","31307",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\crimeresponse\event_first_pay_cutscene","True","False","5324",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\crimeresponse\event_law_report_crime","True","False","15619",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\crimeresponse\event_law_repsonse_ai","True","False","21806",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\crimeresponse\event_law_repsonse_bounty","True","False","23143",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\crimeresponse\event_law_repsonse_local","True","False","27549",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\crimeresponse\event_law_repsonse_posse","True","False","25566",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\crimeresponse\event_law_repsonse_special","True","False","23283",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\crimeresponse\event_law_repsonse_stickup","True","False","14573",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\crimeresponse\event_law_repsonse_wild","True","False","21442",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\crimeresponse\event_pay_bounty","True","False","10044",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\crimeresponse\event_player_in_jail","True","False","17851",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\crimeresponse\mplaw_response_thread","True","False","4370",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\deadposter\event_dead_poster2","True","False","21859",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\jobsystem\genericjob_main","True","False","4261",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\jobsystem\job_horsebreaking","True","False","23744",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\jobsystem\job_nightwatch","True","False","40383",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\mexicanrevolution\mexican_rev_rally","True","False","14941",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\mexicanrevolution\mexrev_phase1b","True","False","108",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\mexicanrevolution\mexrev_phase2","True","False","2042",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\mexicanrevolution\mexrev_phase3","True","False","2066",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\mexicanrevolution\mexrevp1b","True","False","18546",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\mexicanrevolution\mexrevp2","True","False","18546",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\mexicanrevolution\mexrevp3","True","False","18551",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\passenger\passenger_camp","True","False","7260",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\passenger\passenger_coach","True","False","15055",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\pointofinterest\event_bountyhunter","True","False","51387",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\pointofinterest\event_wanted_poster","True","False","14466",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\regional\esc\escalera_revolution","True","False","9476",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\regional\rio\event_rio_fortmercerkickoff","True","False","15845",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\regional\sol\sol_firsttimeevent","True","False","42612",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\regional\tes\event_tes_boss","True","False","11189",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\regional\tes\event_tes_mb_prea","True","False","10493",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\regional\twr\event_twr_bossdrop","True","False","3684",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\regional\twr\twinrocks_escort","True","False","3394",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\beat_crime_holdup","True","False","9908",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\beat_crime_wagonthief","True","False","9908",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\beat_roadside_robbery","True","False","27014",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_coyote_chase","True","False","16288",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_crazy_hermit","True","False","22085",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_criminal_chase","True","False","19466",,"52 53 43 85 02 00 00 00",""
"game\content_extracted\release64\ambient\roaming\event_dead_poster","True","False","21886",,"52 53 43 85 02 00 00 00",""
