"BasePath","HasWSC","HasSCO","WSCBytes","SCOBytes","WSCHead","SCOHead"
"game\content_extracted\release64\dlc\bonuspack\init_bonuspack","True","True","6886","7054","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\bonuspack1\init_bonuspack1","True","True","825","796","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\bonuspack2\init_bonuspack2","True","True","6724","6886","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\bonuspack3\init_bonuspack3","True","True","529","499","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\mooutfitspack\event_jackalope","True","True","9738","10023","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\mooutfitspack\init_mooutfitspack","True","True","2821","2926","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\titlestorage\tms_boot_360","True","True","14382","14997","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\titlestorage\tms_boot_ps3","True","True","14932","15574","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\titlestorage\tms_run_360","True","True","3278","3300","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\titlestorage\tms_run_ps3","True","True","1476","1468","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\ultimate\init_ultimate_disc1","True","True","7920","8130","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_burning_bodies","True","True","14269","14738","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_cannibal_camp","True","True","15370","15958","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_dead_pile_a","True","True","15016","15525","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_dead_pile_b","True","True","15941","16510","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_family_camp","True","True","18305","19020","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_family_overrun","True","True","15533","16107","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_homestead_trap","True","True","34980","38111","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_homestead_zombies","True","True","24004","26164","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_hunter","True","True","22459","23287","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_lone_stranded","True","True","15964","16586","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_lone_zombie","True","True","15747","16337","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_magical_animals","True","True","14275","14775","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_mourn_zombie","True","True","15800","16382","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_overrun","True","True","17759","18466","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_sasquatch","True","True","4558","4620","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_sharpshooter","True","True","21590","22492","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_survivor_fight","True","True","19194","19988","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_thieves","True","True","15645","16242","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_trapped_survivor","True","True","30403","33210","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_unicorn","True","True","4549","4621","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_zombie_chase","True","True","18195","18895","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\beats\beat_zombie_struggle","True","True","15504","16067","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\cholla_springs\armadillo\armadillo_z","True","True","33811","36469","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\cholla_springs\chollasprings_z","True","True","22927","25098","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\cholla_springs\coots_chapel\cootschapel_z","True","True","41986","45430","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\cholla_springs\odd_fellows_rest\oddfellowsrest_z","True","True","39104","42265","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\cholla_springs\ridgewood_farm\ridgewoodfarm_z","True","True","28861","30788","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\cholla_springs\twin_rocks\twinrocks_z","True","True","26676","28334","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\gaptooth_ridge\benedict_point\benedictpoint_z","True","True","27747","29596","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\gaptooth_ridge\gaptooth_breach\gaptoothbreach_z","True","True","28495","30380","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\gaptooth_ridge\gaptoothridge_z","True","True","15752","17031","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\gaptooth_ridge\rathskeller_fork\rathskellerfork_z","True","True","28655","30639","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\gaptooth_ridge\solomons_folly\solomonsfolly_z","True","True","26291","27927","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\gaptooth_ridge\tumbleweed\tumbleweed_z","True","True","44364","47827","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\hennigans_stead\hennigans_ranch\hennigansranch_z","True","True","33147","35765","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\hennigans_stead\hennigansstead_z","True","True","20098","21916","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\hennigans_stead\pikes_basin\pikesbasin_z","True","True","32842","35209","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\hennigans_stead\thieves_landing\thieveslanding_z","True","True","34607","37524","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\rio_bravo\fort_mercer\fortmercer_z","True","True","32952","35749","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\rio_bravo\plainview\plainview_z","True","True","27604","29421","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\frontier\rio_bravo\riobravo_z","True","True","15182","16377","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\blunderbussammokit","True","True","7005","7167","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\dlc_eating_multi","True","True","8895","9091","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\dlc_find_blunderbuss","True","True","8636","8837","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\dlc_player_burn_coffin","True","True","9083","9286","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\holy_relic","True","True","6702","6843","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\missingpersonsposter","True","True","6989","7212","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\mp_coffinpick","True","True","8280","8465","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
"game\content_extracted\release64\dlc\zombiepack\gringos\scripts\phosphorous","True","True","6954","7118","52 53 43 85 02 00 00 00","53 43 52 02 F9 AE 02 C6"
